# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
bmp7,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,BMP7,655,Homo sapiens,9606,[Cannabinoids results in increased abundance of 11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid] which affects the methylation of BMP7 gene,affects^methylation|increases^abundance,30521419
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of AFP mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of ALB mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of AMHR2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of ANXA1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of APOA1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of BMP5 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CDH10 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CEACAM6 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CIDEC mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of COL3A1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CRYAB mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CYP26B1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of CYP3A5 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of DCC mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of DCN mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of DHRS9 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of DNAJB1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of EBF3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of EGLN3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FABP1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FBXO32 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FGB mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FGF7 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FGG mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of FLRT3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GADD45A mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GATA6 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GCLM mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GPR183 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GPX2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GRIA2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GRIA3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GSTA1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GSTA2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GSTO1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of GUCY1A1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HAND2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HAVCR1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HMGCS2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HOXA2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HOXB3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HOXD4 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HOXD8 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of HSD3B1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of IGFBP7 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of IGHV3 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of IL1R1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of ISL1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of KRT6A mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of LEF1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of LUM mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of MLIP mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of MMP1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of MPZL1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of MYL4 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of NQO1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of NR2F1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of NR2F2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of PDE1A mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of PLN mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of RBM20 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of RRAD mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SCARB1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SCN2A mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SEMA3C mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SERPINA1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SLCO2B1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of SQSTM1 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of TBX2 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of TFAP2A mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of TF mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
fgf1,Ascorbic Acid,D001205,50-81-7,FGF1,2246,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in increased expression of TM4SF4 mRNA,affects^binding|affects^cotreatment|increases^expression,34480604
