Geneid	G01.xls	G02.xls	G03.xls	G04.xls	G05.xls	G06.XLS	G07.XLS	G09.XLS	G10.XLS	G11.XLS	G12.XLS	G13.XLS	G14.XLS	G15.XLS	G16.XLS	G17.XLS	G18.XLS
TLR3	0	0,06727272	0,14216164	0,048828125	0,15853658	0,13445379	0	0,033663366	0,03576159	0,09475032	0,060855266	0,057838663	0,05818182	0,013138685	0	0,11764705	0,05555556
SP	0,19675088	0,07454545	0,20058423	0,087890625	0,07317073	0,34033617	0,15008725	0	0,22781458	0,09731114	0,39473686	0,08980214	0,021818181	0,09343066	0,2	0,4705882	0
TXK	0	0	0,050632913	0,025390625	0,06829268	0,071428575	0,20942406	0,047524754	0	0,053777207	0,001644737	0	0,018181818	0	0	0	0
si	0,09747292	0	0,019474197	0,0078125	0	0	0	0	0	0	0,006578948	0	0	0	0,02857143	0	0
HFL-EDDG1	0,8465704	0,55090904	0,44985396	0,43164062	0,5682926	0,41806722	0,5165794	0,26732674	0,8635761	0,2663252	0,6875	0,7990868	0,4181818	0,75620437	0,2857143	0,29411763	0,44444448
HFL-EDDG1	0,37003607	0,45090905	0,59201556	0,5722656	0,83170724	0	0,54799294	0,20198019	0,7298013	0,21766965	0,23355263	0,3515982	0,3309091	0,21313868	0	0,35294116	0,2777778
electron transfer flavoprotein-ubiquinone oxidoreductase, ETF-QO	0,21841155	0,3781818	0,07984421	0,43945312	0,1902439	0,14915967	0,14659683	0,12871286	0	0,1306018	0,16282895	0,03805175	0,31636363	0,13868614	0	0,41176468	0,5555556
PPFIA2	0,003610108	0,049090907	0	0,029296875	0	0	0	0	0	0	0	0,060882803	0	0	0	0	0
"AGTR2; AT2"	0,04512635	0,03454545	0,04868549	0,109375	0	0	0	0,061386134	0	0	0,039473686	0,02130898	0	0,083211675	0	0,058823526	0
SCNN1G	0,17148013	0	0	0,02734375	0	0	0	0,045544554	0,043708608	0,00256082	0,2944079	0,0761035	0	0	0	0	0,11111112
REGL	0,023465702	0,010909091	0	0,013671875	0,16341463	0	0	0,041584156	0,013245033	0,081946224	0,059210528	0,1674277	0,10545455	0,11386862	0,085714296	0,17647058	0
SNC73	0,32310465	0,18727273	0,20447907	0,23632812	0,31219512	1,092437	0,25479928	0	1,4569536	1,9334188	0,22532895	0,90258753	0,3490909	0,7357664	0,8571429	0,11764705	0,05555556
	0,20577615	0,13090909	0,16942552	0,10546875	0,16341463	0	0,048865613	0	0,26357615	0,2612036	0,21217105	0,092846274	0	0,17956205	0,085714296	0,11764705	0,16666669
Ig<alpha>2	0,16787003	0	0	0,2109375	0,019512195	0,6386555	0,3280977	0,057425745	0,22251655	1,234315	0	0,03805175	0	0	0	0,11764705	0
Ig<alpha>2	0	0	0	0	0	0,38655463	0	0	0	0,95262486	0	0	0,2509091	0	0	0	0
	0	0,003636364	0	0	0	0	0,12565443	0	0	0	0	0	0,050909087	0	0	0	0
AIPL1	0,44584835	0,2109091	0,15189874	0,25585938	0,2097561	0,090336144	0,52356017	0	0,58145696	0,3047375	0,48026317	0,412481	0,16727272	0,23941605	0	0,058823526	0
NPH2	0	0,023636362	0,027263876	0	0	0,035714287	0,07329842	0	0	0	0	0	0	0	0	0	0
RARRES1	0,05415162	0,07272727	0,43427458	0	0,0902439	0,13235295	0,13263524	0	0	0	0,016447369	0,00761035	0,047272723	0	0,22857144	0,058823526	0
INPP4A	0,702166	0,66909087	0,4070107	0,7011719	0,2536585	0,4936975	1,2251307	0,8039603	1,3615894	0,10243278	0,3733553	0,8188737	0,26181817	0,7474453	0,74285716	0,4705882	0,7222222
INPP4A	0,010830324	0,12545455	0,06231743	0,033203125	0	0,069327734	0	0,03168317	0,12317881	0	0,034539472	0,060882803	0	0,1620438	0,11428572	0	0
INPP4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mGluR1alpha	0,08664259	0,02909091	0	0,005859375	0	0	0	0	0,0781457	0,028169015	0,16282895	0,08219179	0	0,010218978	0	0	0,05555556
mGluR1beta	0,44584835	0,34545454	0,3232717	0,36914062	0,50487804	0,37184876	0,20244327	0,1861386	0	0,27400768	0,39144737	0,630137	0,5381818	0,34014598	0,11428572	0,17647058	0,11111112
ZNF80	0,05956678	0,11090908	0,27848104	0,11328125	0,1512195	0,0987395	0,19546245	0,13267326	0,08874172	0,13572344	0,1875	0,19025876	0,1490909	0,054014597	0,11428572	0	0,05555556
GCAP-II	0,012635378	0,049090907	0	0,140625	0,27804875	0	0	0	0,34569538	0	0,6200658	0,5905632	0	0,5737226	0	0,11764705	0,22222224
SLAM	0	0,038181815	0	0	0,024390243	0	0	0	0	0	0	0	0	0	0	0	0
CAMK4	0,014440432	0	0,005842259	0	0,031707313	0	0	0	0	0	0	0	0,17090908	0	0	0	0
TCP10A	0,40613717	0,23454544	0,47906527	0,32617188	0,25609756	0,53781515	0,08027922	0,2	0,10198675	0,29193342	0,21217105	0,24200913	0	0,21751824	0	0,11764705	0
HBD	0,93682307	0,39272726	0,46348587	0,45117188	0,49268293	0,30462185	0,2966841	0,27326733	0,18278146	0,46350834	0,4819079	0,5159818	0,2763636	0,3211679	0,05714286	0,2352941	0,11111112
MAGE-3	0	0	0	0	0,03902439	0	0	0	0	0	0	0	0,025454544	0	0	0	0
MAGE-2	0	0	0	0	0	0	0	0	0	0	0,009868422	0	0	0	0	0	0
ADH6	0	0,1290909	0,09347615	0,1953125	0	0,100840345	0,06980802	0,017821781	0,009271523	0,10755441	0,10032895	0,19178084	0	0	0	0,058823526	0,11111112
F7	0,4783393	0,5709091	0,2083739	0,29101562	0,40731707	0,12184875	0,58638734	0,24554454	0,41192055	0,8348271	0,50493425	0,7351598	0,49454546	0,2759124	0,14285715	0,17647058	0,16666669
"ATP4A; ATP6A"	0,11010829	0	0	0,16210938	0,47560975	0,27310926	0	0	0	0	0	0	0,11636364	0	0	0	0
agouti	0,15884475	0,16909091	0,023369037	0,1328125	0,11219511	0,20378152	0	0	0	0,26888606	0,27796054	0,27701676	0,43636364	0,07883212	0	0	0
ALPI	0	0	0	0	0	0	0	0	0	0	0,32236844	0,059360735	0	0	0	0	0
CRKL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPY2R	0	0	0	0	0	0,035714287	0	0	0	0,058898848	0	0,050228313	0	0	0	0	0
NPY Y2	0	0	0	0	0	0	0	0	0	0	0	0	0,036363635	0	0	0	0
KCNJ3	0,075812265	0,13636363	0,1382668	0,03515625	0,25609756	0	0,038394414	0,015841585	0,042384107	0,00256082	0	0	0	0	0,02857143	0,058823526	0,05555556
KIAA0125	0,16425993	0	0,05842259	0	0,056097556	0,014705882	0	0	0	0,04865557	0,24013159	0,041095894	0	0,15912408	0	0,058823526	0
ADH7	0,00902527	0,030909091	0	0	0	0,14285715	0	0	0	0	0	0	0	0,02627737	0	0	0
NCA	0	0,009090909	0,021421617	0,025390625	0,004878049	0,065126054	0,07678883	0,03960396	0,047682118	0	0,08388158	0,08219179	0	0,013138685	0	0	0,05555556
CD94	0,10469314	0	0	0,08203125	0	0,063025214	0,041884813	0,104950495	0	0	0,057565793	0,02130898	0,007272727	0	0	0	0
CART1	0,120938614	0,061818182	0,1966894	0,1015625	0	0,018907564	0,038394414	0	0,23046356	0,11267606	0,055921055	0,009132421	0	0,07883212	0	0,058823526	0
DNAJB4	0,16606496	0,06545454	0	0	0,16829269	0,063025214	0,16055845	0,06336634	0,10331126	0,10755441	0	0,01065449	0	0	0,02857143	0	0
ESM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2RX1	0	0,3090909	0	0	0,058536585	0	0	0,0990099	0,2675497	0,3559539	0	0,29832575	0	0,08029197	0	0,058823526	0
PRKG2	0,08303248	0,1509091	0,033106137	0,17773438	0,15609756	0,039915968	0	0	0	0,08962868	0,08388158	0	0,07636363	0,05255474	0,02857143	0,11764705	0,16666669
hHa2	0,111913346	0,045454543	0,22395326	0,33203125	0,25609756	0,2394958	0	0	0,10728478	0,017925736	0,24177632	0,15829529	0,101818174	0,12700729	0,05714286	0,17647058	0
MEF-2	0,08664259	0,001818182	0,12074002	0,015625	0,07804878	0,05252101	0	0,017821781	0,021192053	0	0	0	0	0,010218978	0	0	0,05555556
MEF-2	0,599278	0,5381818	0,4751704	0,49414062	0,58536583	0,5420168	0,3909249	0,2752475	0,40264902	0,43790016	0,4588816	0,6362253	0,3018182	0,5109489	0,51428574	0,29411763	0,44444448
	0,113718405	0	0,031158715	0,05078125	0,009756098	0,31092438	0,010471203	0	0	0,05121639	0	0,051750384	0	0,15474454	0	0,29411763	0,16666669
LAIR2	0	0,012727272	0	0	0	0	0,20942406	0	0,050331127	0	0	0,018264841	0	0	0	0	0
5'OY11.1	0,12996389	0	0,009737099	0	0	0,111344546	0	0	0	0	0	0,08219179	0	0	0	0	0
PNN	0,12815884	0,14363636	0,35637778	0,24804688	0,07317073	0,24159664	0,11867364	0	0,045033112	0	0	0,07458144	0,014545455	0,05109489	0	0,17647058	0,5
UNC5C	0,01805054	0,07272727	0,08373905	0,05859375	0,14146341	0,12605043	0,22687607	0	0,1986755	0	0,049342107	0	0	0,011678833	0	0,058823526	0,05555556
SkM1	1,236462	0,95636356	1,1742941	0,9453125	1,1073171	0,487395	1,3123908	1,4237624	1,3933774	1,4980794	1,4259869	1,3592086	1,1672727	1,0087591	0,42857146	0,9411764	1,1666666
	0,35018048	0,31454542	0,5433301	0	0,5902439	0,04411765	0	0	0,3192053	0	0,76809216	0,24200913	0	0,15474454	0	0,11764705	0
FUT2	0	0	0	0	0	0	0	0	0	0,028169015	0	0	0,036363635	0	0	0	0
FUT2	0,02707581	0,047272723	0,06037001	0,01171875	0	0	0	0	0	0	0	0	0	0	0	0	0
BDKRB1	0	0,04	0,16163585	0,06640625	0	0,15336135	0,18499126	0	0,029139074	0,005121639	0	0,15981735	0,08	0,0729927	0,085714296	0,058823526	0,05555556
HTR2C	0,10830324	0,15454546	0,042843234	0,15429688	0,15853658	0,073529415	0,15706804	0,08316831	0,116556294	0,03841229	0,0756579	0,051750384	0,036363635	0,055474453	0,085714296	0,11764705	0,05555556
HTR1C	0,05234657	0,123636365	0,023369037	0,16601562	0,20243903	0	0,19546245	0,033663366	0,017218543	0	0,11513159	0	0,061818182	0,04671533	0	0,058823526	0
OATP	0,014440432	0,054545455	0	0,13671875	0,11951219	0	0,090750426	0,06732673	0	0,04865557	0	0	0	0	0	0	0
CMKBR6	0,05415162	0,06363636	0,07205453	0	0,021951217	0,05252101	0,18499126	0	0,014569537	0,012804098	0	0,03500761	0	0,02627737	0,085714296	0	0,05555556
	0	0	0	0	0	0,11554622	0	0	0	0	0,060855266	0,030441402	0,05818182	0	0	0	0,11111112
ILT7	0,28519854	0,061818182	0,005842259	0,265625	0,10487805	0,033613447	0	0	0,21854305	0	0,001644737	0,10958904	0	0	0	0	0
HYPE	0	0,009090909	0,08373905	0,001953125	0,07804878	0	0,048865613	0	0	0,09731114	0	0,012176561	0	0	0	0,058823526	0
HS747E2A	0,2472924	0,038181815	0,14995131	0,025390625	0	0	0,16404885	0	0,14304636	0,07426377	0,1332237	0,23592086	0,14181818	0,1839416	0	0	0
TBX5	5,351985	4,996363	4,8880234	3,6777344	4,94878	3,3424373	2,78534	4,6732674	2,9033113	3,4929576	4,0921054	4,260274	3,6436362	3,1708028	4,114286	8,117646	6,9444447
PTK6	0,050541513	0,047272723	0,18500488	0,048828125	0,24634147	0,22689077	0	0,15643564	0,0397351	0,24071702	0,1069079	0,15068494	0,13090909	0,14452554	0	0,11764705	0,16666669
	0	0,018181818	0	0	0	0	0	0	0,06754967	0	0	0	0,03272727	0,02919708	0	0	0
COL4A3	0,14801443	0,061818182	0,07010711	0	0	0,090336144	0,17452005	0	0,17086092	0,00256082	0	0	0,061818182	0	0	0	0
COL4A3	0,21480142	0	0,007789679	0	0	0	0,020942407	0	0,16026491	0	0	0,02739726	0	0	0	0	0
COL4A3	0	0,12	0	0	0,043902434	0	0	0	0	0	0,08059211	0	0	0	0	0	0
AFM	0	0	0,017526777	0	0,029268293	0,077731095	0	0	0	0,05121639	0	0	0,02909091	0	0	0	0
TSHB	0,133574	0	0,1285297	0,15039062	0	0	0,15706804	0	0,034437086	0	0,0625	0,059360735	0,010909091	0,011678833	0,085714296	0	0
ZNF169	0,20577615	0,12545455	0,08568647	0,21875	0	0,14495799	0	0,3980198	0,6278146	0	0,7417763	0,739726	0,4109091	0,55474454	0,51428574	0,4705882	0,3888889
VIP	0,09927797	0,06	0,07205453	0,0859375	0,27804875	0,19537815	0,031413607	0,035643563	0,15364239	0,12804097	0	0,14155252	0,010909091	0,23357664	0,11428572	0,11764705	0,11111112
CHRNB4	0,21480142	0,13999999	0	0	0,17317072	0	0	0	0,34437087	0	0	0	0	0,31824815	0,34285718	0	0,16666669
HML2	0,75270754	0,71090907	0,788705	0,9472656	0,55365855	0,552521	0,44677135	0,9524752	0,47417217	0,6888604	0,8914474	0,73668194	0,9272727	0,69927007	0,17142859	0,6470588	0,5555556
hCsx	1,3176894	1,901818	1,6416749	0,8652344	0,8902439	0,47478995	0,7643978	0	0,03311258	0,85019207	0,4506579	0,6164384	0,6981818	0,45255473	0,05714286	0,9411764	0,5
PHKG1	1,8357399	1,050909	1,150925	1,015625	1,3634146	1,3991597	0,9528795	0,8910891	0,89139074	2,1331627	1,2335527	1,648402	3,0254543	1,8540146	1,3428571	0,4705882	1
Zpf165	0,07039711	0	0	0	0	0	0	0	0	0	0,060855266	0,02739726	0	0	0	0	0
"APOBEC1; BEDP"	0	0	0,042843234	0,109375	0	0	0	0	0,0794702	0	0,13651316	0	0,16	0	0	0	0
TSBP	0,04873646	0,023636362	0,114897765	0,06640625	0,031707313	0,14285715	0,20593366	0	0	0,1306018	0,11513159	0,06849315	0,087272726	0,02627737	0,02857143	0,11764705	0,05555556
DNAM-1	0	0,061818182	0	0,13476562	0	0,033613447	0	0	0	0	0,013157896	0,024353122	0	0	0	0,058823526	0
KIAA0918	0,2707581	0,18545453	0,19863681	0,19726562	0,2536585	0,12815127	0,08726002	0,037623763	0,06887417	0,012804098	0,34046054	0,26788434	0,047272723	0,11240876	0,11428572	0,17647058	0,11111112
HOXA2	0	0	0	0,009765625	0,009756098	0	0	0	0,037086092	0	0	0	0	0	0	0	0
FZD3	0	0	0	0	0	0	0	0,04950495	0	0	0	0	0	0	0	0	0
"GCAT; KBL; MGC23053"	0	0	0	0,00390625	0	0	0	0	0	0	0	0	0	0	0	0	0
"GCAT; KBL; MGC23053"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3	0,15884475	0,06363636	0,34274587	0,24804688	0,16585366	0,018907564	0,45724255	0	0	0,80921894	0	0	0,59999996	0,24525546	0	0,058823526	0
RBMS3	0,13898915	0	0	0,171875	0,15609756	0	0,031413607	0,017821781	0	0	0,052631583	0	0,17090908	0,02919708	0	0,058823526	0,05555556
RBMS3	0,005415162	0	0,12463486	0	0	0,17436975	0	0	0	0	0	0,19939119	0	0	0	0,29411763	0
KKIAMRE	0,08122743	0,07090909	0,14605647	0,25390625	0,22195122	0,09243698	0,12216404	0,12673268	0,116556294	0,27912933	0,3256579	0,050228313	0,12	0,19124088	0,2	0,17647058	0,22222224
	0,03610108	0	0,033106137	0	0,021951217	0,079831935	0	0,017821781	0,03178808	0,040973112	0,013157896	0,030441402	0	0	0	0,058823526	0
	0,111913346	0,11090908	0,3174294	0,26367188	0,004878049	0,20378152	0,19546245	0,027722772	0,11523178	0,40204865	0,2631579	0,11567733	0	0,3211679	0,05714286	0,41176468	0,2777778
KCND3	0	0	0	0	0	0	0,045375213	0	0,0781457	0	0	0	0,31272727	0	0	0	0
	0,05776173	0,054545455	0	0,076171875	0,18536584	0,05252101	0,08027922	0	0,01986755	0	0,049342107	0,15068494	0,09454545	0,06715328	0,02857143	0,058823526	0,05555556
	0	0	0,13437197	0	0	0	0,3385689	0	0,047682118	0	0	0	0	0,56058395	0,02857143	0	0
	0,03971119	0	0	0	0,031707313	0,069327734	0,20244327	0,15049505	0	0	0	0,041095894	0	0	0	0	0
KIAA0508	0,028880864	0,12181818	0,033106137	0	0	0,37815127	0	0	0,074172184	0,015364918	0	0	0	0	0	0,058823526	0
ZFP67	0	0	0	0	0	0	0	0	0	0	0	0,20395738	0	0	0	0	0
CDY1	0,03971119	0	0	0,017578125	0	0,012605043	0	0	0,05165563	0,028169015	0,023026315	0,066971086	0	0	0,02857143	0	0
hdkk-4	0,5902527	0,60181814	0,6621227	0,8125	0,51463413	0,72058827	0,42582893	0,051485147	0,38807946	0,67093474	0,36348686	0,57990867	0,81090903	0,36058396	0	0,4705882	0,44444448
RAG2	0,05956678	0	0,18500488	0,140625	0	0,050420173	0	0,13267326	0	0,1715749	0,14309211	0,09893455	0,05818182	0,17080292	0	0	0
SPOCK3	0,014440432	0	0	0,01171875	0	0	0	0	0,03576159	0	0	0	0	0	0,02857143	0	0,05555556
ZNF132	0	0,050909087	0,12658228	0,05859375	0	0	0	0	0,027814569	0	0,027960528	0	0	0,03649635	0	0	0
CIAS1	0,04512635	0	0,17137294	0	0	0	0	0	0,041059602	0,015364918	0,008223685	0	0,043636363	0,02919708	0	0	0
RAB30	0	0	0	0	0	0	0,010471203	0	0,03311258	0	0	0	0	0	0	0	0
	4,579422	4,3890905	4,2356377	2,7265625	2,719512	2,6008406	3,0994763	4,2554455	5,504636	4,084507	5,1233554	5,3150687	1,090909	3,9430656	3,4	3,6470585	3,2222226
Grap	0	0	0	0	0	0	0	0	0	0	0,03125	0	0	0	0	0	0
	0,81949455	0,8145454	0,5725414	0,65234375	0,099999994	0,6785714	0,8097731	0,940594	0,5086093	0,22791293	0,83059216	0,8386606	0,64	0,7693431	1,0285715	0,41176468	0,66666675
edg6	0,33212993	0,26181817	0,29600778	0,46875	0,5707317	0	0	0	0,29801324	0,8143406	0,4161184	0,11567733	0,36727273	0,37664232	0,25714287	0,058823526	0
ABCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRS4	0	0	0	0	0	0	0	0	0	0	0,15625	0	0,036363635	0	0	0,058823526	0
Nkx2.2	0,38989168	0	0,15774101	0	0	0	0,25479928	0	0	0	0,05098684	0,060882803	0	0	0,02857143	0,058823526	0,16666669
Nkx2.2	0,030685918	0	0	0,06640625	0,014634146	0	0	0,075247526	0,029139074	0,28937262	0,12171053	0	0,14545454	0,023357665	0,05714286	0,058823526	0,05555556
5HT1E	0,09205776	0,21636362	0,12463486	0	0,065853655	0,00210084	0	0	0	0,15364917	0,22039475	0,25722983	0,19272727	0	0	0	0
LY6G6D	0	0	0	0	0	0	0	0	0	0,4225352	0	0	0,29090908	0	0	0	0
LY6G6D	0,043321297	0	0,13047712	0	0	0	0	0	0,03576159	0,17925736	0,14638157	0,10958904	0	0,001459854	0	0,2352941	0
CLDN8	0,034296025	0	0,14021422	0	0	0	0	0	0	0	0	0,1933029	0	0,099270076	0	0	0
CLDN8	0	0,12727273	0	0	0,056097556	0	0,017452005	0	0	0,110115245	0	0	0	0	0	0	0
	0,030685918	0	0,09152872	0	0	0	0	0	0,11523178	0	0	0	0	0,037956204	0	0	0
	0,70758116	0,72909087	0,14605647	0,8808594	0,84390235	0,3529412	0,09424083	0,5029703	0,12052981	0,2535211	0,44407895	0,37899545	0,42545453	0,43503648	0,37142858	0,29411763	0,44444448
RPL18A	20,525269	29,76909	21,922102	19,363281	33,285362	40,237396	44,63525	15,013862	47,49404	46,294495	12,899672	29,952818	40,541817	18,481752	23,97143	10,823528	8,166667
HGMP071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUP	0	0,06363636	0	0	0,026829269	0	0	0	0	0	0	0	0	0	0	0	0
ZNF46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0,25812274	0	0,26874393	0,16601562	0,48780486	0,26050422	0,08726002	0,34851485	0,29668874	0,09987196	0,46710527	0,152207	0,24	0,3021898	0,085714296	0,29411763	0,11111112
RPS13	19,095667	17,898182	12,003896	13,964844	22,992682	15,212185	14,652703	5,552475	5,621192	18,338028	6,8486843	5,665145	17,396362	7,329927	6,971429	21,588234	9,444445
HOXB3	0,050541513	0	0	0	0	0	0,20942406	0	0,21986756	0,081946224	0,0625	0,18112633	0	0	0	0	0
vHNF1	0,86642593	0,47454545	0,47906527	0,6777344	0,27804875	0,355042	0,18848166	0,08316831	0,3523179	0,12804097	0,51644737	0,7990868	0,64	0,94306564	0,22857144	0,11764705	0,16666669
CACNA1C	0	0	0	0	0,3146341	0,1197479	0	0,76039606	0,13642384	0,11267606	0	0,11872147	0,087272726	0,054014597	0	0	0,22222224
CACNA1C	0,27978337	0,04	0,081791624	0	0,051219508	0	0,05933682	0	0	0	0,067434214	0	0	0	0	0	0
CACNA1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1E	0,007220216	0	0	0	0	0,016806724	0	0	0	0	0	0,11263318	0,24727273	0	0	0	0
CACNA1E	0	0	0,06426485	0,017578125	0,012195122	0,010504202	0	0	0	0	0	0	0,010909091	0	0	0	0
PIK3CD	0	0	0	0,30664062	0	0	0,21989527	0,03960396	0	0	0	0	0	0,31240875	0	0,058823526	0
PIK3CD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWp2-like	0,46028876	0,2090909	0,2862707	0,099609375	0,58536583	0,592437	0,40837693	0,4831683	0,52185434	0,7119078	0,6398027	0,018264841	0,32363635	0,08613139	0,8	0,2352941	0,61111116
SPTBN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIM1	0,32310465	0,4272727	0,4264849	0,5625	0,44634143	0,8655463	0,3734729	0,21584158	0,41986755	0,46350834	0,14638157	0,31659058	0,23636363	0,6467153	0,17142859	1,4705882	1,3333335
DIM1	0,7220216	0,94	1,1022395	0,8378906	0,95365846	0,61974794	0,42233855	0,2	0,38278145	0,57362354	0,3700658	0,23439878	0,74545455	0,60729927	0,4571429	1,4117646	1
P2Y11	0	0,70363635	0,5978579	0,3515625	0,76341456	0,25840336	0,6841186	0,52079207	1,4066225	0	1,0789474	1,019787	0,6909091	0,8788321	0,74285716	0,29411763	0,33333337
ATP8B1	0,14259927	0	0,20058423	0,34179688	0,302439	0	0	0	0,08874172	0	0,032894738	0,015220701	0	0,17810218	0,05714286	0,11764705	0,16666669
G13	0,13176894	0,09454545	0,19084713	0	0,056097556	0,016806724	0	0	0,08476821	0,15620999	0,032894738	0,07762557	0	0,108029194	0,05714286	0,058823526	0,05555556
CTAG1	0,6588447	0,4218182	0,4420643	0,203125	0	0,16386555	0,05933682	0	0	0,24071702	0,4539474	0,58751905	0,38545454	0,31824815	0,2857143	0,2352941	0
CTAG1	0,9747292	0,7327272	1,0477118	0,6796875	0,49268293	0,5588235	0,75392663	0,87722766	0,7509934	0,66325223	1,1447369	0,7732116	0,9018181	0,6321168	0,54285717	0,8823529	0,94444454
	0,24187723	0,67636365	0,42453748	0,49804688	0,08780487	0,32352942	0,3211169	0	0,005298013	0,5966709	0,09375	0	0	0	0	0	0,11111112
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIF1	0,7220216	0,80727273	0,6835443	0,4296875	0,89512193	0,84243697	0,9284467	0,41188118	0,45298013	1,0678618	0,45559213	0,8295282	0,73818177	0,58832115	0,17142859	0,52941173	0,33333337
AIF1	0	0	0,052580334	0	0	0	0,031413607	0	0	0	0	0	0	0	0	0	0
SLC6A8	0,055956673	0,023636362	0,31937683	0,01953125	0,22195122	0	0,07678883	0,26138613	0,63311255	0	0,014802632	0,75190264	0	0,13722627	0,74285716	0,17647058	0,2777778
MYCL1	0,10830324	0,07636363	0,122687444	0,01953125	0	0,29831934	0	0,00990099	0,08874172	0	0,15460527	0,036529683	0	0,049635038	0	0	0,16666669
ME1	0,050541513	0	0	0	0	0	0,045375213	0	0	0	0	0	0	0	0	0	0
GM2A	0	0	0	0,01171875	0	0,14495799	0	0	0	0	0	0,15829529	0	0	0	0	0
GM2A	0,11010829	0,28363636	0,6484907	0,22265625	0,40731707	0,5126051	0,3071553	0,029702969	0,80662256	0,46606916	0,67105263	0,7427702	0,16	0,49927008	0,22857144	0,17647058	0,5
GM2A	6,545126	6,101818	5,1528726	3,7128906	4,5268292	1,6029413	6,1465964	7,508911	5,548344	10,901409	6,402961	2,607306	11,730909	3,2043796	4,114286	3,4117646	2,8333335
	0,14801443	0,13999999	0,36611488	0,2109375	0,21219511	0	0,115183234	0,34851485	0,34569538	0,6837388	0,097039476	0,26636225	0,77454543	0,119708024	0,22857144	0,2352941	0
PST	0	0	0	0	0,029268293	0	0	0	0,014569537	0,10243278	0	0	0	0,00729927	0	0	0
DDX27	0,26173285	0,6709091	0,3232717	0,2890625	0,107317075	0,20588236	0,50610816	0	0,22119206	0,12548016	0,45559213	0,520548	0,047272723	0,7109489	0,11428572	0,2352941	0,16666669
hAQP8	0,064981945	0,22545452	0,34079844	0,13476562	0,59999996	0,90966386	0	0	0,07284768	0,3149808	0,5559211	0,96955866	0,5272727	0	0	0	0
ADAM20	0,12996389	0,14545454	0,14021422	0,40234375	0,024390243	0,25840336	0,2757417	0,08910891	0,14701988	0,15364917	0,1513158	0,14916287	0,08	0,22043796	0,05714286	0,058823526	0,22222224
MYF5	0	0,07090909	0,11100292	0	0	0	0,045375213	0	0	0	0	0,060882803	0	0,004379562	0,05714286	0	0,05555556
3'OY11.1	0,1534296	0,06363636	0,18305744	0,18359375	0	0	0	0	0,0397351	0,05121639	0,18585527	0,1628615	0	0,042335767	0	0,11764705	0,05555556
SSX3	0,29783392	0,16909091	0,14216164	0,115234375	0,2609756	0,23529412	0,15706804	0,14059405	0,18410595	0,16901408	0,17927632	0,123287685	0,15636364	0,129927	0	0,058823526	0,16666669
RPL37	11,435018	11,592727	13,526777	10,46875	14,939024	11,577731	13,912739	9,5782175	6,948344	15,2496805	7,332237	9,394217	10,767273	11,113869	8,3714285	12,058823	10,444445
RPL34	20,171478	20,590908	32,15969	25,1875	31,007317	22,180674	23,48691	11,243564	8,046357	13,377722	8,59375	15,730595	21,992725	21,781021	11,085714	18,999998	20,277779
ZNF124	0	0,047272723	0,1382668	0,02734375	0,20731707	0,15546219	0,03490401	0	0	0,17413573	0	0	0,043636363	0	0	0,058823526	0
cfl1	10,223826	11,016364	10,765336	9,890625	11,063415	16,380253	16,09424	5,8475246	15,409272	25,40333	8,106908	5,2024355	15,5709095	10,472993	7,6857147	9,411764	7,1111116
RPL5	12,855595	13,827272	18,55891	16,904297	19,870731	13,495799	13,204186	7,4554453	6,30596	10,6069145	7,2532897	12,849316	13,647272	17,220438	4,514286	14,058823	12,722222
RPL5	0,12635379	0,098181814	0,066212274	0,1171875	0,065853655	0,11764706	0,05933682	0	0	0,16645327	0,016447369	0,07458144	0,061818182	0,03357664	0,11428572	0	0,05555556
FLJ13305	0	0	0	0,01953125	0,12682925	0,111344546	0,09424083	0	0	0	0,029605264	0,00304414	0	0	0	0	0,05555556
FLJ13305	0	0,06727272	0	0	0	0	0,3211169	0,055445544	0	0	0,069078945	0,030441402	0,13090909	0	0,11428572	0	0
FLJ13305	0,055956673	0	0	0	0	0	0	0	0	0	0	0	0	0,004379562	0	0	0
GM-CSF receptor	0,43321297	0,1490909	0,2375852	0,203125	0,1707317	0	0,07678883	0	0	0,3047375	0,14144738	0,19634703	0,07272727	0	0,02857143	0	0,05555556
SNRPC	2,0469313	2,2454545	2,5511198	2,1953125	3,0926828	2,4138656	1,0052354	0,90891093	0,6860927	2,3764405	1,4226974	1,3576865	1,4290909	1,4861314	0,5714286	2,2941175	3,7777781
